編號,股票代碼,股票名稱,現股價值,,,,,,,,,
211,3491,昇達科,1745,,,,,,,,,
212,8043,蜜望實,116,,,,,,,,,
213,8027,鈦昇,242.5,,,,,,,,,
214,3357,臺慶科,231,,,,,,,,,
215,5274,信驊,15550,,,,,,,,,
216,6207,雷科,81.3,,,,,,,,,
217,8358,金居,457.5,,,,,,,,,
218,6488,環球晶,631,,,,,,,,,
219,8096,擎亞,106.5,,,,,,,,,
220,3529,力旺,3365,,,,,,,,,
221,3324,雙鴻,940,,,,,,,,,
222,3264,欣銓,206,,,,,,,,,
223,3374,精材,230.5,,,,,,,,,
224,00679B,元大美債20年,26.1,,,,,,,,,
225,1785,光洋科,138,,,,,,,,,
226,4749,新應材,993,,,,,,,,,
227,6510,精測,3370,,,,,,,,,
228,6274,台燿,1190,,,,,,,,,
229,3675,德微,311.5,,,,,,,,,
230,5439,高技,364,,,,,,,,,
231,3363,上詮,782,,,,,,,,,
232,3211,順達,348.5,,,,,,,,,
233,6127,九豪,52.1,,,,,,,,,
234,6727,亞泰金屬,501,,,,,,,,,
235,5351,鈺創,74,,,,,,,,,
236,8069,元太,229.5,,,,,,,,,
237,1815,富喬,99.8,,,,,,,,,
238,5309,系統電,67.9,,,,,,,,,
239,00937B,群益ESG投等債20+,14.51,,,,,,,,,
240,3663,鑫科,80,,,,,,,,,
241,3680,家登,506,,,,,,,,,
242,7734,印能科技,3290,,,,,,,,,
243,3236,千如,42.4,,,,,,,,,
244,3580,友威科,103.5,,,,,,,,,
245,5483,中美晶,135,,,,,,,,,
246,5536,聖暉*,917,,,,,,,,,
247,3293,鈊象,729,,,,,,,,,
248,4931,新盛力,187,,,,,,,,,
249,6290,良維,264.5,,,,,,,,,
250,4966,譜瑞-KY,760,,,,,,,,,
251,3317,尼克森,72.8,,,,,,,,,
252,6187,萬潤,1080,,,,,,,,,
253,8064,東捷,123.5,,,,,,,,,
254,3221,台嘉碩,48.15,,,,,,,,,
255,3131,弘塑,2570,,,,,,,,,
256,00687B,國泰20年美債,27.12,,,,,,,,,
257,4760,勤凱,284,,,,,,,,,
258,3615,安可,42.5,,,,,,,,,
259,3693,營邦,506,,,,,,,,,
260,6175,立敦,81.5,,,,,,,,,
261,6138,茂達,301,,,,,,,,,
262,6284,佳邦,88.1,,,,,,,,,
263,6485,點序,112,,,,,,,,,
264,8040,九暘,98.6,,,,,,,,,
265,5475,德宏,277,,,,,,,,,
266,3707,漢磊,72.4,,,,,,,,,
267,6182,合晶,57.2,,,,,,,,,
268,3227,原相,223.5,,,,,,,,,
269,4979,華星光,542,,,,,,,,,
270,5328,華容,30.9,,,,,,,,,
271,8255,朋程,154.5,,,,,,,,,
272,6683,雍智科技,1780,,,,,,,,,
273,4991,環宇-KY,700,,,,,,,,,
274,3163,波若威,934,,,,,,,,,
275,7828,創新服務,1050,,,,,,,,,
276,3430,奇鈦科,159.5,,,,,,,,,
277,6643,M31,565,,,,,,,,,
278,6462,神盾,135.5,,,,,,,,,
279,8086,宏捷科,144,,,,,,,,,
280,6173,信昌電,160,,,,,,,,,
281,7751,竑騰,1460,,,,,,,,,
282,8932,智通*,99,,,,,,,,,
283,6291,沛亨,465.5,,,,,,,,,
284,3441,聯一光,47.85,,,,,,,,,
285,5314,世紀*,67.6,,,,,,,,,
286,8054,安國,108.5,,,,,,,,,
287,5443,均豪,115.5,,,,,,,,,
288,3294,英濟,40.25,,,,,,,,,
289,6642,富致,83.7,,,,,,,,,
290,5498,凱崴,61.6,,,,,,,,,
291,7717,萊德光電-KY,671,,,,,,,,,
292,4973,廣穎,107.5,,,,,,,,,
293,3362,先進光,113,,,,,,,,,
294,4768,晶呈科技,406,,,,,,,,,
295,6190,萬泰科,77.1,,,,,,,,,
296,6261,久元,113.5,,,,,,,,,
297,3709,鑫聯大投控,82.8,,,,,,,,,
298,6640,均華,1265,,,,,,,,,
299,3537,堡達,57.8,,,,,,,,,
300,7712,博盛半導體,167.5,,,,,,,,,
301,3479,安勤,109.5,,,,,,,,,
302,8155,博智,392.5,,,,,,,,,
303,00720B,元大投資級公司債,32.29,,,,,,,,,
304,6208,日揚,94.3,,,,,,,,,
305,00933B,國泰10Y+金融債,15.69,,,,,,,,,
306,6739,竹陞科技,1250,,,,,,,,,
307,5291,邑昇,72.4,,,,,,,,,
308,6532,瑞耘,96.9,,,,,,,,,
309,3088,艾訊,134.5,,,,,,,,,
310,5299,杰力,103.5,,,,,,,,,
311,3577,泓格,131.5,,,,,,,,,
312,6584,南俊國際,631,,,,,,,,,
313,8289,泰藝,55.3,,,,,,,,,
314,00751B,元大AAA至A公司債,31,,,,,,,,,
315,6432,今展科,52.1,,,,,,,,,
316,3587,閎康,322.5,,,,,,,,,
317,5236,凌陽創新,172.5,,,,,,,,,
318,5371,中光電,71.1,,,,,,,,,
319,6174,安碁,43.45,,,,,,,,,
320,6664,群翊,395,,,,,,,,,
321,7709,榮田,92,,,,,,,,,
322,6419,京晨科,142.5,,,,,,,,,
323,3217,優群,188.5,,,,,,,,,
324,6435,大中,228.5,,,,,,,,,
325,00795B,中信美國公債20年,26.02,,,,,,,,,
326,3162,精確,85.3,,,,,,,,,
327,00724B,群益投資級金融債,33.1,,,,,,,,,
328,3691,碩禾,138.5,,,,,,,,,
329,6237,驊訊,49.2,,,,,,,,,
330,5904,寶雅,559,,,,,,,,,
331,6903,巨漢,371.5,,,,,,,,,
332,6425,易發,88,,,,,,,,,
333,6234,高僑,43.6,,,,,,,,,
334,887,永豐中國科技50大,16.53,,,,,,,,,
335,6679,鈺太,314.5,,,,,,,,,
336,6217,中探針,239,,,,,,,,,
337,6265,方土昶,41.65,,,,,,,,,
338,3265,台星科,170.5,,,,,,,,,
339,3689,湧德,119,,,,,,,,,
340,3228,金麗科,198,,,,,,,,,
341,4971,IET-KY,694,,,,,,,,,
342,6227,茂綸,114,,,,,,,,,
343,6788,華景電,394.5,,,,,,,,,
344,6188,廣明,80.9,,,,,,,,,
345,3141,晶宏,64.4,,,,,,,,,
346,6538,倉和,106.5,,,,,,,,,
347,4772,台特化,289,,,,,,,,,
348,00764B,群益25年美債,27.12,,,,,,,,,
349,00725B,國泰投資級公司債,34.37,,,,,,,,,
350,8091,翔名,255,,,,,,,,,
351,8042,金山電,118.5,,,,,,,,,
352,3498,陽程,142.5,,,,,,,,,
353,5340,建榮,99.9,,,,,,,,,
354,3289,宜特,161,,,,,,,,,
355,4908,前鼎,245,,,,,,,,,
356,3485,敘豐,238,,,,,,,,,
357,00948B,中信優息投資級債,9.25,,,,,,,,,
358,3234,光環,97.1,,,,,,,,,
359,3551,世禾,194,,,,,,,,,
360,00981B,第一金優選非投債,9.18,,,,,,,,,
361,8147,正淩,181,,,,,,,,,
362,3526,凡甲,356,,,,,,,,,
363,00772B,中信高評級公司債,32.92,,,,,,,,,
364,877,復華中國5G,39.91,,,,,,,,,
365,6279,胡連,117,,,,,,,,,
366,7744,崴寶,493.5,,,,,,,,,
367,00719B,元大美債1-3,30.91,,,,,,,,,
368,3339,泰谷,47.35,,,,,,,,,
369,6104,創惟,95.8,,,,,,,,,
370,8121,越峰,35.15,,,,,,,,,
371,4903,聯光通,44.45,,,,,,,,,
372,6568,宏觀,207.5,,,,,,,,,
373,00722B,群益投資級電信債,35.14,,,,,,,,,
374,6499,益安,94.2,,,,,,,,,
375,6244,茂迪,28.2,,,,,,,,,
376,4542,科嶠,235.5,,,,,,,,,
377,4933,友輝,72.6,,,,,,,,,
378,6411,晶焱,85.4,,,,,,,,,
379,6121,新普,376.5,,,,,,,,,
380,4729,熒茂,23.65,,,,,,,,,
381,6530,創威,102,,,,,,,,,
382,8050,廣積,51.2,,,,,,,,,
383,6509,聚和,47.1,,,,,,,,,
384,00950B,凱基A級公司債,13.8,,,,,,,,,
385,00696B,富邦美債20年,28.15,,,,,,,,,
386,5864,致和證,30.9,,,,,,,,,
387,6548,長科*,48.65,,,,,,,,,
388,3455,由田,280,,,,,,,,,
389,6126,信音,33.95,,,,,,,,,
390,3490,單井,36.8,,,,,,,,,
391,8227,巨有科技,192.5,,,,,,,,,
392,8044,網家,27.1,,,,,,,,,
393,955,中信日本商社,15.66,,,,,,,,,
394,8390,金益鼎,113,,,,,,,,,
395,4721,美琪瑪,84.1,,,,,,,,,
396,8109,博大,126.5,,,,,,,,,
397,6125,廣運,54.8,,,,,,,,,
398,3152,璟德,164,,,,,,,,,
399,4743,合一,49.3,,,,,,,,,
400,6231,系微,276.5,,,,,,,,,
